AVG:,,5.10,35.1,,7.43,$20.99,$15.86,$36.85,$4.63,$1.31,$20.55,,,$89.92,
MTD:,,40.79,246.0,,52,$146.93,$111.00,$257.93,,,,,,$809.26,
Date,Scheduled Hours,Worked Hours,Actual Mileage,Store mileage,# orders,Tips (credit),Tips (cash),Tips (total),Average tip/order,$/mi,$/h,Miles b/w Shift,Gas Cost,Day's Labor,
"Sun, Mar 1",4,4.28,25.2,25.0,5,$15.00,$10.00,$25.00,$5.00,$1.30,$19.39,7.9,(3.37),$72.13,
"Mon, Mar 2",4,5.13,45.0,42.0,10,$56.50,$23.00,$79.50,$7.95,$2.19,$29.75,23.3,(5.93),$134.11,
"Wed, Mar 4",4,3.98,27.0,25.0,5,$14.00,$1.00,$15.00,$3.00,$0.90,$17.45,12.6,(3.56),$58.41,
"Thu, Mar 5",3,8.5,,,,,,,,,$11.80,,,,
"Fri, Mar 6",5.75,6.06,52.8,53.0,12,$26.00,$39.00,$65.00,$5.42,$1.53,$25.15,14.2,(6.96),$129.55,
"Sat, Mar 7",3,2.76,22.0,24.0,6,$15.00,$8.00,$23.00,$3.83,$1.26,$22.74,N/A,(2.90),$52.67,*Hit a fucking deer
"Sun, Mar 8",4,4.68,38.0,38.0,7,$9.43,$16.00,$25.43,$3.63,$0.97,$19.67,,(5.01),$75.65,*Rental
"Mon, Mar 9",4,5.4,36.0,36.0,7,$11.00,$14.00,$25.00,$3.57,$0.99,$18.43,,(4.74),$83.98,
"Fri, Mar 13",4,4.43,44.0,44.0,14,$28.00,$24.00,$52.00,$3.71,$1.48,$26.52,,(5.80),$98.48,
"Sat, Mar 14",4,5.5,35.0,36.0,7,$25.00,$19.00,$44.00,$6.29,$1.52,$21.76,,(4.61),$104.29,
"Sun, Mar 15",4,4.3,41.0,41.0,7,$44.00,$11.00,$55.00,$7.86,$1.64,$27.45,,(5.40),$100.34,
"Sun, Mar 22",5,5.8,21.3,23.0,3,$33.57,$10.00,$43.57,$14.52,$2.19,$20.50,,(2.81),$109.20,
"Tue, Mar 24",,,,,7,$43.00,$0.00,$43.00,$6.14,,,,,$43.00,
"Fri, Mar 27",5,4.65,60.0,60.0,9,$30.00,$5.00,$35.00,$3.89,$0.88,$23.20,,(7.90),$81.97,
"Sat, Mar 28",3,3.23,16.4,17.0,4,$18.00,$0.00,$18.00,$4.50,$1.36,$18.95,,(2.16),$53.95,
"Sun, Mar 29",4,4.54,54.0,53.0,12,$53.00,$5.00,$58.00,$4.83,$1.39,$28.08,,(7.11),$104.46,
